iir_9_1_5	mir-0088:3.0
iir_9_1_3	mir-0083:1.0,mir-0084:1.0
iir_2_2_4	mir-0121:3.0
iir_2_4	mir-0150:2.0,mir-0136:1.0,mir-0196:2.0
iir_6	mir-0030:3.0
iir_2_2	mir-0118:3.0,mir-0119:2.0,mir-0120:3.0,mir-0121:3.0,mir-0117:1.0
iir_8	mir-0056:3.0
iir_9	mir-0084:3.0,mir-0083:2.0,mir-0092:2.0,mir-0089:1.0,mir-0095:2.0,mir-0096:2.0,mir-0082:2.0
iir_8_1	mir-0057:2.0
iir_9_1_1	mir-0085:2.5
iir_9_1_2	mir-0086:3.0,mir-0087:1.0
iir_9_1_8	mir-0084:1.0
iir_9_1_6	mir-0084:1.0,mir-0089:1.0
iir_9_2	mir-0092:2.5,mir-0093:3.0,mir-0094:3.0
iir_8_4	mir-0059:2.5,mir-0060:3.0
iir_9_1	mir-0084:2.5,mir-0089:1.5,mir-0092:2.0
iir_2_4_1	mir-0196:1.0
iir_6_2_1	mir-0030:2.0
iir_6_3_3	mir-0030:2.5
iir_8_7	mir-0199:2.0
iir_9_2_3	mir-0093:1.0,mir-0094:2.0,mir-0092:1.0
iir_6_4_3	mir-0030:1.0
iir_6_5	mir-0055:1.0
iir_6_2_2	mir-0030:2.5
iir_6_2	mir-0030:2.5
iir_9_2_1	mir-0093:3.0,mir-0094:3.0
iir_8_5	mir-0059:1.0
iir_8_6	mir-0060:1.0,mir-0057:2.0
iir_8_5_1	mir-0059:1.0
iir_8_3	mir-0059:2.5,mir-0060:2.0,mir-0058:3.0
iir_2_5	mir-0133:1.0,mir-0160:1.0
iir_8_8	mir-0066:2.5
iir_2_1_1	mir-0119:1.0
iir_2_2_2	mir-0120:3.0
iir_8_6_2	mir-0060:1.0,mir-0057:1.0
iir_8_6_1	mir-0057:1.0
iir_6_3_2	mir-0030:2.5
