Round,Word_term-based@1,Word_phrase-replaced@1,Word_term-phrase-both@1,LDA_pure_textbook_all_200@1,LDA_textbook_sigir_citation-high_100@1,LDA_textbook_sigir_2009-2015_200@1,LDA_textbook_sigir_2009-2015_100@1,LDA_textbook_sigir_all_150@1,LDA_textbook_sigir_1971-2001_100@1,LDA_textbook_sigir_2002-2008_100@1,LDA_textbook_sigir_all_200@1,LDA_textbook_sigir_1971-2001_200@1,LDA_textbook_sigir_citation-high_200@1,LDA_pure_textbook_two_150@1,LDA_textbook_sigir_all_100@1,LDA_textbook_sigir_citation-medium_200@1,LDA_textbook_sigir_citation-medium_150@1,LDA_textbook_sigir_citation-low_150@1,LDA_textbook_sigir_2002-2008_150@1,LDA_textbook_sigir_citation-high_150@1,LDA_pure_textbook_all_150@1,LDA_textbook_sigir_2009-2015_150@1,LDA_textbook_sigir_2002-2008_200@1,LDA_textbook_sigir_citation-low_100@1,LDA_pure_textbook_two_100@1,LDA_textbook_sigir_citation-medium_100@1,LDA_pure_textbook_all_100@1,LDA_pure_textbook_two_200@1,LDA_textbook_sigir_1971-2001_150@1,LDA_textbook_sigir_citation-low_200@1,Word_term-based@3,Word_phrase-replaced@3,Word_term-phrase-both@3,LDA_pure_textbook_all_200@3,LDA_textbook_sigir_citation-high_100@3,LDA_textbook_sigir_2009-2015_200@3,LDA_textbook_sigir_2009-2015_100@3,LDA_textbook_sigir_all_150@3,LDA_textbook_sigir_1971-2001_100@3,LDA_textbook_sigir_2002-2008_100@3,LDA_textbook_sigir_all_200@3,LDA_textbook_sigir_1971-2001_200@3,LDA_textbook_sigir_citation-high_200@3,LDA_pure_textbook_two_150@3,LDA_textbook_sigir_all_100@3,LDA_textbook_sigir_citation-medium_200@3,LDA_textbook_sigir_citation-medium_150@3,LDA_textbook_sigir_citation-low_150@3,LDA_textbook_sigir_2002-2008_150@3,LDA_textbook_sigir_citation-high_150@3,LDA_pure_textbook_all_150@3,LDA_textbook_sigir_2009-2015_150@3,LDA_textbook_sigir_2002-2008_200@3,LDA_textbook_sigir_citation-low_100@3,LDA_pure_textbook_two_100@3,LDA_textbook_sigir_citation-medium_100@3,LDA_pure_textbook_all_100@3,LDA_pure_textbook_two_200@3,LDA_textbook_sigir_1971-2001_150@3,LDA_textbook_sigir_citation-low_200@3
0,0.5,0.5,0.4,0.4,0.5,0.3,0.4,0.2,0.4,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.3,0.4,0.3,0.3,0.4,0.3,0.2,0.275,0.3,0.3,0.2,0.3,0.4,0.4,0.576775310682,0.497319731518,0.559093490482,0.561002066843,0.51,0.545228823004,0.613092975357,0.576775310682,0.545228823004,0.597909091486,0.6240950422,0.5990950422,0.597909091486,0.576775310682,0.543320246642,0.561002066843,0.497909091486,0.608321798361,0.536185950714,0.561002066843,0.573092975357,0.608321798361,0.545228823004,0.572909091486,0.592548554522,0.480227271285,0.672909091486,0.497909091486,0.51,0.608321798361
1,0.4,0.4,0.4,0.2,0.4,0.4,0.3,0.3,0.4,0.4,0.566666666667,0.4,0.5,0.4,0.45,0.4,0.4,0.4,0.4,0.35,0.3,0.5,0.4,0.2,0.3,0.366666666667,0.55,0.3,0.6,0.4,0.5625,0.525592975357,0.5625,0.542263974518,0.5625,0.651657776788,0.4625,0.5625,0.625592975357,0.831945863451,0.5625,0.556183634285,0.541549774403,0.5625,0.645123465713,0.689634711286,0.647319731518,0.646696615596,0.578870145048,0.656062485001,0.703811732856,0.7,0.607742524223,0.555803254647,0.5625,0.594917689525,0.731352888094,0.588685950714,0.5625,0.721188267144
2,0.383333333333,0.383333333333,0.383333333333,0.383333333333,0.483333333333,0.283333333333,0.483333333333,0.383333333333,0.383333333333,0.483333333333,0.383333333333,0.383333333333,0.483333333333,0.483333333333,0.283333333333,0.383333333333,0.483333333333,0.466666666667,0.483333333333,0.266666666667,0.466666666667,0.283333333333,0.383333333333,0.383333333333,0.383333333333,0.5,0.483333333333,0.383333333333,0.483333333333,0.283333333333,0.473501163683,0.5,0.539591811674,0.622584988069,0.473501163683,0.452684787031,0.546086151752,0.510408188326,0.515777762388,0.585677963426,0.43807262734,0.610408188326,0.510408188326,0.452684787031,0.513092975357,0.552684787031,0.572584988069,0.548770938783,0.623501163683,0.510408188326,0.522584988069,0.522584988069,0.410408188326,0.602684787031,0.489591811674,0.470816376652,0.522584988069,0.473501163683,0.589591811674,0.552684787031
3,0.5,0.333333333333,0.4,0.583333333333,0.4,0.4,0.4,0.4,0.4,0.483333333333,0.4,0.4,0.4,0.5,0.4,0.6,0.483333333333,0.383333333333,0.4,0.4,0.483333333333,0.5,0.5,0.375,0.4,0.4,0.6,0.4,0.5,0.4,0.479335531496,0.296530302838,0.371850419218,0.580903171041,0.416242556139,0.457985751741,0.409371965043,0.44189510375,0.397909994646,0.478478928136,0.39337359205,0.418726371298,0.368726371298,0.466242556139,0.290636362771,0.397909994646,0.518403171041,0.446872868203,0.440893036907,0.468726371298,0.45306983665,0.418403171041,0.416242556139,0.397909994646,0.426972667165,0.408110308275,0.45996584356,0.468726371298,0.420076660255,0.447909994646
4,0.483333333333,0.216666666667,0.383333333333,0.583333333333,0.483333333333,0.383333333333,0.483333333333,0.483333333333,0.383333333333,0.466666666667,0.383333333333,0.383333333333,0.283333333333,0.483333333333,0.383333333333,0.483333333333,0.466666666667,0.466666666667,0.583333333333,0.383333333333,0.466666666667,0.483333333333,0.483333333333,0.658333333333,0.383333333333,0.5,0.583333333333,0.283333333333,0.483333333333,0.3,0.698382019174,0.484030302838,0.590896906897,0.768403171041,0.635289043817,0.708578727098,0.6599649404,0.697848616072,0.627471978217,0.695145594802,0.643966567407,0.64828835487,0.622893037965,0.664258052032,0.541229338128,0.648502970003,0.735069837707,0.734372868203,0.718317279812,0.756226371298,0.64056983665,0.631496146398,0.64580453971,0.685409994646,0.682926179486,0.624776974941,0.689527827131,0.756226371298,0.670669635612,0.698502970003
5,0.3,0.4,0.4,0.5,0.3,0.2,0.2,0.4,0.4,0.3,0.2,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.3,0.4,0.2,0.3,0.2,0.5,0.4,0.5,0.2,0.491157289995,0.459549745129,0.50518542001,0.638518753343,0.50518542001,0.4625,0.625592975357,0.491157289995,0.491157289995,0.661990623328,0.554250265352,0.592259642024,0.524490623328,0.529166666667,0.6016117287,0.625592975357,0.566666666667,0.592259642024,0.592259642024,0.524490623328,0.5625,0.491157289995,0.491157289995,0.50518542001,0.491157289995,0.463716411796,0.6625,0.5625,0.538518753343,0.554250265352
6,0.444444444444,0.333333333333,0.444444444444,0.333333333333,0.222222222222,0.111111111111,0.111111111111,0.222222222222,0.111111111111,0.111111111111,0.222222222222,0.111111111111,0.444444444444,0.444444444444,0.222222222222,0.333333333333,0.222222222222,0.222222222222,0.222222222222,0.111111111111,0.111111111111,0.333333333333,0.222222222222,0.527777777778,0.222222222222,0.111111111111,0.222222222222,0.333333333333,0.444444444444,0.0,0.470984569999,0.493743862941,0.466924914236,0.652245355763,0.386565657207,0.419496669781,0.473539945238,0.470984569999,0.470984569999,0.566555238683,0.488510396487,0.502965259455,0.566555238683,0.513217210745,0.521487777762,0.56778007427,0.460639731281,0.509246442623,0.474074074074,0.525547433524,0.4,0.508021607036,0.470984569999,0.628438346106,0.488510396487,0.437715203423,0.581010101651,0.497676768318,0.484465281492,0.470984569999
7,0.222222222222,0.333333333333,0.333333333333,0.333333333333,0.444444444444,0.222222222222,0.444444444444,0.444444444444,0.333333333333,0.333333333333,0.407407407407,0.333333333333,0.555555555556,0.333333333333,0.555555555556,0.333333333333,0.333333333333,0.333333333333,0.333333333333,0.444444444444,0.555555555556,0.333333333333,0.444444444444,0.333333333333,0.222222222222,0.444444444444,0.555555555556,0.333333333333,0.555555555556,0.222222222222,0.638981776317,0.528909725937,0.640020837048,0.755107530164,0.584465281492,0.751183112701,0.722222222222,0.603930123341,0.62443402592,0.700937234914,0.655035309518,0.695627557145,0.614780395761,0.666666666667,0.668930562985,0.667720845079,0.654568587445,0.712568592063,0.740411272276,0.659328097367,0.712568592063,0.679989581476,0.6541995947,0.532551025594,0.603930123341,0.743562916703,0.757717626057,0.681214417063,0.741478318,0.745198767191
8,0.5,0.6,0.6,0.4,0.6,0.5,0.3,0.6,0.5,0.4,0.5,0.3,0.5,0.5,0.6,0.5,0.5,0.4,0.6,0.4,0.4,0.6,0.4,0.4,0.5,0.3,0.6,0.4,0.5,0.2,0.761990623328,0.676018753343,0.776018753343,0.776018753343,0.776018753343,0.8,0.9,0.761990623328,0.761990623328,0.761990623328,0.761990623328,0.726185950714,0.761990623328,0.8,0.776018753343,0.8,0.8,0.8,0.763092975357,0.761990623328,0.8,0.725083598686,0.761990623328,0.776018753343,0.761990623328,0.676018753343,0.8,0.8,0.7391117287,0.761990623328
9,0.2,0.2,0.2,0.2,0.3,0.1,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.3,0.2,0.4,0.1,0.436005682232,0.309819731518,0.372912706875,0.625592975357,0.329166666667,0.472912706875,0.501778926071,0.441366219196,0.464974690446,0.579759642024,0.501778926071,0.528067665804,0.429166666667,0.451881715089,0.451778926071,0.464871901429,0.529759642024,0.586005682232,0.538685950714,0.5375,0.383428202768,0.372912706875,0.383428202768,0.550592975357,0.457139463036,0.409854538356,0.542654958929,0.488685950714,0.4125,0.599098657589
